Bulan,NOPOL,Kategori Site,Site Name,BU Site,Type Armada,Klasifikasi Kendaraan,Usia (Year),Owner,DPP,Nominal Downtime,DPP Net (setelah downtime)
Jul-24,BK8009MI,RDC,TAMORA HCI,HCI,CDE LC,NIAGA,12,MR,4887000.0,0,4887000.0
Jul-24,A8799ZF,HUB,HUB BANDUNG,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,A8583ZY,HUB,HUB YOGYAKARTA,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,A8750ZF,HUB,HUB BANDUNG,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,A8745XA,HUB,HUB BOGOR,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,A8747XA,NDC,CIKUPA HCI,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,A8713XA,NDC,CIKUPA HCI,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,A8712XA,NDC,CIKUPA HCI,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,A8874VA,NDC,CIKUPA HCI,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Apr-25,A8619VX,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,13,MR,5853000.0,0,5853000.0
Apr-25,A8986XA,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,12,MR,5887000.0,0,5887000.0
Apr-25,A8988XA,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,12,MR,5887000.0,0,5887000.0
Jul-24,A8975XA,HUB,HUB BANDUNG,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,A8690XA,SDC,HCI MANADO,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,W8879NU,NDC,HUB BALI,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,W8876NU,NDC,SIDOARJO HCI,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,A8348VA,RDC,MAKASAR HCI,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,A8725VA,HUB,HUB YOGYAKARTA,HCI,CDE LC,NIAGA,12,MR,4687000.0,0,4687000.0
Jul-24,DK8389DL,HUB,HUB BALI,HCI,CDE LC,NIAGA,11,MR,4766000.0,0,4766000.0
Jul-24,A8767ZA,NDC,CIKUPA HCI,HCI,CDE LC,NIAGA,10,MR,5083000.0,0,5083000.0
Jul-24,A8849ZA,NDC,CIKUPA HCI,HCI,CDE LC,NIAGA,10,MR,5083000.0,0,5083000.0
Jul-24,A8362ZA,SDC,HCI PONTIANAK,HCI,CDE LC,NIAGA,10,MR,5083000.0,0,5083000.0
Jul-24,A8359ZA,NDC,CIKUPA HCI,HCI,CDE LC,NIAGA,10,MR,5083000.0,0,5083000.0
Jul-24,A8158ZC,HUB,HUB CIREBON,HCI,CDE LC,NIAGA,9,MR,5486000.0,0,5486000.0
Apr-25,A8729ZF,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,12,MR,5887000.0,0,5887000.0
Jul-24,B9017SCF,NDC,CIKUPA HCI,HCI,CDE LC,NIAGA,9,MR,5486000.0,0,5486000.0
Jul-24,A8508ZD,HUB,HUB LAMPUNG,HCI,CDE LC,NIAGA,9,MR,5486000.0,0,5486000.0
Jul-24,A8507ZD,HUB,HUB PALEMBANG,HCI,CDE LC,NIAGA,9,MR,5486000.0,0,5486000.0
Apr-25,A8974XA,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,12,MR,5887000.0,0,5887000.0
Jul-24,A8909XY,NDC,CIKUPA HCI,HCI,CDD LC,NIAGA,15,MR,5669000.0,0,5669000.0
Apr-25,A8987XA,NDC,JABABEKA AHI,AHI,CDD LC,NIAGA,12,MR,5887000.0,0,5887000.0
Apr-25,A8096XA,NDC,JABABEKA AHI,AHI,FUSO,NIAGA,18,MR,9129000.0,0,9129000.0
Jul-24,A8529XA,NDC,CIKUPA HCI,HCI,CDD LC,NIAGA,12,MR,5887000.0,0,5887000.0
Jul-24,A8530XA,NDC,CIKUPA HCI,HCI,CDD LC,NIAGA,12,MR,5887000.0,0,5887000.0
Apr-25,A8637VA,NDC,JABABEKA AHI,AHI,FUSO,NIAGA,17,MR,10241000.0,0,10241000.0
Apr-25,A8665VA,NDC,JABABEKA AHI,AHI,FUSO,NIAGA,17,MR,10241000.0,0,10241000.0
Apr-25,A8638VA,NDC,JABABEKA AHI,AHI,FUSO,NIAGA,17,MR,10241000.0,0,10241000.0
Apr-25,A8309YX,NDC,JABABEKA AHI,AHI,FUSO,NIAGA,14,MR,11218000.0,0,11218000.0
Apr-25,A8313YX,NDC,JABABEKA AHI,AHI,FUSO,NIAGA,14,MR,11218000.0,0,11218000.0
Jul-24,DD8283SY,RDC,MAKASAR HCI,HCI,CDD LC,NIAGA,10,MR,6851000.0,0,6851000.0
Jul-24,A8176XA,NDC,SIDOARJO HCI,HCI,FUSO,NIAGA,18,MR,9129000.0,0,9129000.0
Apr-25,A8146YX,NDC,JABABEKA AHI,AHI,FUSO,NIAGA,14,MR,11218000.0,0,11218000.0
Apr-25,A8186YX,NDC,JABABEKA AHI,AHI,FUSO,NIAGA,14,MR,11218000.0,0,11218000.0
Jul-24,A8495YX,NDC,CIKUPA HCI,HCI,FUSO,NIAGA,14,MR,11218000.0,0,11218000.0
Jul-24,A8494YX,NDC,CIKUPA HCI,HCI,FUSO,NIAGA,14,MR,11218000.0,0,11218000.0
Jul-24,A8625YX,NDC,CIKUPA HCI,HCI,FUSO,NIAGA,14,MR,11218000.0,0,11218000.0
Apr-25,A8743YX,NDC,JABABEKA AHI,AHI,CDE,NIAGA,19,MR,3827000.0,0,3827000.0
Apr-25,A8370WX,NDC,JABABEKA AHI,AHI,CDE,NIAGA,18,MR,4254000.0,0,4254000.0
